"","mod.max","rep","size","web"
"1",0.5216,1,25,"ns_2014"
"2",0.5632,2,25,"ns_2014"
"3",0.6464,3,25,"ns_2014"
"4",0.5136,4,25,"ns_2014"
"5",0.5584,5,25,"ns_2014"
"6",0.5792,6,25,"ns_2014"
"7",0.5312,7,25,"ns_2014"
"8",0.5584,8,25,"ns_2014"
"9",0.6144,9,25,"ns_2014"
"10",0.5728,10,25,"ns_2014"
"11",0.632,11,25,"ns_2014"
"12",0.5696,12,25,"ns_2014"
"13",0.6336,13,25,"ns_2014"
"14",0.5344,14,25,"ns_2014"
"15",0.6224,15,25,"ns_2014"
"16",0.6144,16,25,"ns_2014"
"17",0.6112,17,25,"ns_2014"
"18",0.5376,18,25,"ns_2014"
"19",0.7072,19,25,"ns_2014"
"20",0.64,20,25,"ns_2014"
"21",0.56,21,25,"ns_2014"
"22",0.6368,22,25,"ns_2014"
"23",0.5024,23,25,"ns_2014"
"24",0.5312,24,25,"ns_2014"
"25",0.5696,25,25,"ns_2014"
"26",0.5472,26,25,"ns_2014"
"27",0.5728,27,25,"ns_2014"
"28",0.5536,28,25,"ns_2014"
"29",0.5792,29,25,"ns_2014"
"30",0.5664,30,25,"ns_2014"
"31",0.592,31,25,"ns_2014"
"32",0.6304,32,25,"ns_2014"
"33",0.5568,33,25,"ns_2014"
"34",0.6304,34,25,"ns_2014"
"35",0.5696,35,25,"ns_2014"
"36",0.5888,36,25,"ns_2014"
"37",0.608,37,25,"ns_2014"
"38",0.5952,38,25,"ns_2014"
"39",0.6304,39,25,"ns_2014"
"40",0.5632,40,25,"ns_2014"
"41",0.5584,41,25,"ns_2014"
"42",0.6608,42,25,"ns_2014"
"43",0.568,43,25,"ns_2014"
"44",0.536,44,25,"ns_2014"
"45",0.5536,45,25,"ns_2014"
"46",0.4384,46,25,"ns_2014"
"47",0.6464,47,25,"ns_2014"
"48",0.512,48,25,"ns_2014"
"49",0.7136,49,25,"ns_2014"
"50",0.576,50,25,"ns_2014"
"51",0.6976,51,25,"ns_2014"
"52",0.7008,52,25,"ns_2014"
"53",0.6304,53,25,"ns_2014"
"54",0.624,54,25,"ns_2014"
"55",0.688,55,25,"ns_2014"
"56",0.5664,56,25,"ns_2014"
"57",0.6528,57,25,"ns_2014"
"58",0.5536,58,25,"ns_2014"
"59",0.6032,59,25,"ns_2014"
"60",0.7168,60,25,"ns_2014"
"61",0.5888,61,25,"ns_2014"
"62",0.4864,62,25,"ns_2014"
"63",0.6144,63,25,"ns_2014"
"64",0.6816,64,25,"ns_2014"
"65",0.5584,65,25,"ns_2014"
"66",0.6144,66,25,"ns_2014"
"67",0.576,67,25,"ns_2014"
"68",0.5888,68,25,"ns_2014"
"69",0.624,69,25,"ns_2014"
"70",0.656,70,25,"ns_2014"
"71",0.6192,71,25,"ns_2014"
"72",0.5504,72,25,"ns_2014"
"73",0.6064,73,25,"ns_2014"
"74",0.4656,74,25,"ns_2014"
"75",0.6016,75,25,"ns_2014"
"76",0.528,76,25,"ns_2014"
"77",0.4944,77,25,"ns_2014"
"78",0.4784,78,25,"ns_2014"
"79",0.64,79,25,"ns_2014"
"80",0.5344,80,25,"ns_2014"
"81",0.6224,81,25,"ns_2014"
"82",0.5856,82,25,"ns_2014"
"83",0.6688,83,25,"ns_2014"
"84",0.5824,84,25,"ns_2014"
"85",0.6128,85,25,"ns_2014"
"86",0.616,86,25,"ns_2014"
"87",0.4544,87,25,"ns_2014"
"88",0.5184,88,25,"ns_2014"
"89",0.4832,89,25,"ns_2014"
"90",0.5344,90,25,"ns_2014"
"91",0.624,91,25,"ns_2014"
"92",0.656,92,25,"ns_2014"
"93",0.5296,93,25,"ns_2014"
"94",0.5088,94,25,"ns_2014"
"95",0.6528,95,25,"ns_2014"
"96",0.6304,96,25,"ns_2014"
"97",0.512,97,25,"ns_2014"
"98",0.624,98,25,"ns_2014"
