transect,soil,zone,easting,northing,area
MST001,s,10S,550390,4301335,quarry valley
MST002,s,10S,550464,4301294,quarry valley
MST003,ns,10S,549500,4301825.46,east tailings
MST004,ns,10S,549542,4302030,east tailings
MST005,s,10S,552955,4302857.86,reiff road
MST006,s,10S,552099,4302647.52,reiff road
MST007,ns,10S,555141,4300910,davis creek reservoir
MST008,ns,10S,554708,4301381.44,davis creek reservoir
MST009,ns,10S,548196,4303643.54,northwest tailings
MST010,ns,10S,547971,4302484.29,northwest tailings
MST011,s,10S,547781,4301874.76,south tailings
MST012,s,10S,547959,4301659.6,south tailings
